country,hydro,ror,offwind,onwind,solar
AL,1.6907,0.0482,7.592088551558215,67.49186156512863,59.04326362388741
AT,3.6006199999999997,4.8025,0.0,139.64127430008065,192.6880775513554
BA,1.6145,0.0,0.0,140.8267144179412,97.09572205788136
BE,0.0127828025477706,0.0798761965781364,9.570618859548652,14.795438551865251,123.83009385437208
BG,1.92514,0.1104,4.029164292614623,145.5795355003063,248.71149054712976
CH,9.91631,4.4508,0.0,76.71433786350548,139.53738920376247
CZ,0.0,0.0,0.0,104.28033985794764,229.9044291382173
DE,0.2895,2.77560335,75.76022162598275,489.58604253121064,1238.016657010567
DK,0.0,0.0,132.3024943842217,73.47226227257009,152.0542450192804
EE,0.0,0.0,47.839844346626954,93.64260048710904,64.33599271393157
ES,14.975837,0.2770082474999999,27.53338874588217,932.3411702499612,1173.0329165172393
FI,1.2959,1.45173,177.18565727567855,718.1633603247226,111.35796151020132
FL,0.0,0.0,9.570618859548652,4.516329407305542,64.9741539842299
FR,8.329492993630572,6.6443491494216635,80.78618358307187,954.0259787844428,1790.8298287664263
GB,0.2283,8.787,280.8744112723375,434.137903574605,962.657991013652
GR,2.566,0.1031,56.81190658805255,208.17603435604093,219.94410997766232
HR,1.864404458598726,0.2731677302916768,32.78296943943203,74.22371503669399,87.53335813609428
HU,0.028,0.0197,0.0,137.1695270395308,320.2777497435745
IE,0.001,0.216,39.71632327124328,140.8885491448598,228.5485969014889
IT,4.0029,7.49649,129.46460198337766,522.452937402876,883.7786176422358
LT,0.0,0.101,4.932470910833112,128.3646677344847,182.58150886678325
LU,0.0,0.0308999999999999,0.0,3.1628702453974715,8.825732940991156
LV,0.0,1.5360999999999998,30.390484746833792,149.65148902422067,123.78027253333498
ME,0.344961,0.00536,1.6527772412567725,37.72218499858843,16.09397174791463
MK,0.0,0.0,0.0,66.67675384886965,54.654293984393746
NL,0.0,0.0,153.05943689519063,46.32658810776088,169.09670877138518
NO,28.295874200000007,0.8925,106.33999730324392,730.8154077415428,309.115228457605
PL,0.1401019108280254,0.182400368779544,23.936559371303655,421.8260672766178,951.31356306921
PT,0.8814000000000001,2.5578000000000003,12.53306269822324,160.99410545338452,154.06218887865447
RO,4.44994,3.4974499999999997,7.794043825007157,325.01438169005934,692.3971619787507
RS,0.7901,1.7084,0.0,209.91963868308451,231.1112480077803
SE,10.78418662493251,1.279,197.1652954273027,935.9335077385094,212.50163468482697
SI,0.118,0.912275,0.4125927439588749,28.734069062090324,28.710810972720942
SK,0.2419,1.21466,0.0,52.215559654756134,110.99479196592468
